TI ,AU ,AE ,AB%,DC,DC2,DC3,DC4
"Ventilated, containerized service station comprises a standardized container structure and has a heat transfer fluid flow circuit for heat exchange within the container",DUFRENE D;  DUPONT J;  DUPONT J J,SMART (SMAR-Non-standard);  SMART SAS (SMAR-Non-standard);  SMART (SMAR-Non-standard),"%%%A%ventilated%service%station%(1)%transportable%by%conventional%vehicles%comprises%a%structure%of%at%least%one%standardized%container%(2).%It%is%equipped%with%a%heat%transfer%fluid%flow%circuit%for%heat%exchange%within%the%container.%The%flow%circuit%comprises%heat%exchange%channel(s)%defined%by%an%undulation%in%the%vertical%face%of%the%container%walls%and%by%a%coating%applied%against%the%wall.%%%%%-%Autonomous%or%non-autonomous%ventilated%service%station%transportable%by%conventional%vehicles%for%%in%remote%areas%or%disaster-stricken%areas,%and%which%can%be%operate%in%hot%or%(extremely)%cold%climates.%%%%%-%Improved%safety%with%regard%to%thermal%protection%of%the%fuel%contained%within%the%tank%in%particular%when%the%tank%is%located%in%a%confined%space%or%the%temperature%rises%rapidly.%%%%%%-%The%container%(2)%includes%hollow%spars%and%hollow%crosspieces%forming%the%upper%frame%of%the%structure%of%the%container%(2).%The%flow%circuit%utilizes%the%tubular%structure%of%the%container%for%the%admission%and%discharge%of%fluid%as%well%as%for%communication%between%the%structure%and%the%container%(2).%The%heat%transfer%fluid%being%atmospheric%air%and%flowing%in%the%container%passes%first%through%an%empty%space%in%a%compartment%(18)%comprising%a%double-walled%tank%(21)%for%fuel%storage,%and%then%through%the%heat%exchange%channels.%The%heat%transfer%fluid%flow%circuit%includes%at%least%one%blower%(35)%optionally%coupled%with%an%air-conditioning%unit%(36).%The%free%section%between%the%tank%(21)%and%the%walls%(8)%of%the%container%(2)%is%filled%with%an%insulation%material%such%as%vermiculite%for%fire%protection.%%%%The%coating%applied%against%the%wall%is%a%thermal%insulator,%e.g.%two%layers%of%air-bubble-filled,%fireproof%polyethylene%between%two%thin%aluminum%sheets.%%%%Part%of%the%floor%supporting%the%tank%comprises%a%steel%plate%constituting%a%fuel%retention%vessel.%%%%The%container%(2)%comprises%ventilation%ports%(38)%comprising%flaps%that%close%when%an%overpressure%with%respect%to%the%outside%atmospheric%pressure%appears%in%the%container%(2),%and%that%open%automatically%when%the%overpressure%disappears%in%the%container%(2).%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%horizontal%cross-section%of%the%transportable%service%station%using%a%standardized%container.%%%%Ventilated%service%station%(1)%%%%Standardized%container%(2)%%%%Container%walls%(8)%%%%Fuel%storage%container%(21)%%%%Blower%(35)%%%%Air-conditioning%unit%(36)%%%%Ventilation%ports%(38)%","A92(Packagingandcontainers,ropes,nets)","Q34(Packagingelements,types)",NA,AU2002238692-A1BasedonPatentWO200268296;AU2002238692-A8BasedonPatentWO200268296
"Track analyzer for railroad car, generates corrective measures, when determined track parameters are not within acceptable tolerances",BIDAUD A C,ANDIAN TECHNOLOGIES (ANDI-Non-standard);  ANDIAN TECHNOLOGIES (ANDI-Non-standard);  ANDIAN TECHNOLOGIES LTD (ANDI-Non-standard),"%%%A%track%detector%for%determining%track%parameters%including%grade,%superelevation,%gage%and%curvature%of%the%tracks.%A%computer%(218)%generates%corrective%measures,%if%the%track%parameters%are%not%within%the%acceptable%tolerances.%%%%%-%Railroad%track%analyzer%for%%in%vehicle%e.g.%railroad%car%and%locomotive.%%%%%-%Acquires%and%analyzes%rail%geometry%information%in%real-time,%and%provides%drive%control%systems%of%trains%and%autonomous%vehicles.%Optimizes%amount%of%tonnage%hauled%per%unit%cost%for%fuel,%rail%and%wheel%maintenance.%Increases%fuel%efficiency%and%reduces%vehicle%wheel%and%rail%wear.%Increases%locomotive%track%force%on%track.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%Track%analyzing%method;%%%%(2)%Operational%safety%and%overall%efficiency%improvement%method;%and%%%%(3)%Method%for%dynamically%modeling%behavior%of%vehicle.%%%%%OF%DRAWING(S)%-%The%figure%shows%a%block%diagram%of%the%track%analyzer.%%%%Computer%(218)%","S02(EngineeringInstrumentation,recordingequipment,generaltestingmethods)",T01(DigitalComputers),X23(ElectricRailwaysandSignalling),"Q41(Road,rail,bridgeconstruction)"
"Portable battery and welding unit for motor garages, uses two 12 V batteries to provide power for starting and welding and has motorized delivery of welding wire",CASARELLA T,CASARELLA T (CASA-Individual),"%%%The%portable%unit%has%a%box%(1)%housing%at%least%two%12%V%batteries%(10)%connected%to%terminals%accessible%from%outside%the%box.%Terminals%are%provided%for%12%V%and%24%V%supply.%A%motorized%reel%delivers%welding%wire%at%a%variable%(8)%speed%to%a%welding%torch%coupled%by%a%flexible%cable%to%the%box.%%%%%-%Autonomous%portable%unit%for%starting%vehicles,%welding,%supplying%lamp%or%compressor.%%%%%-%Provides%power%needed%for%a%range%of%needs%in%a%motor%garage,%without%need%for%external%power%supply.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%side%elevation%of%the%unit%with%the%cover%removed.%%%%Box%(1)%%%%Batteries%(10)%%%%Variable%speed%controller%for%welding%wire%reel%(8)%","P55(Soldering,weldingmetal)",U24(AmplifiersandLowPowerSupplies),X12(PowerDistribution/Components/Converters),X16(ElectrochemicalStorage)
Road toll determination system has vehicle equipment that transmits total toll reached to date to operating center via communications device on reaching defined criterion,BIET W,DAIMLERCHRYSLER AG (DAIM-C);  DAIMLERCHRYSLER AG (DAIM-C);  DAIMLERCHRYSLER AG (DAIM-C);  BIET W (BIET-Individual);  BIET W (BIET-Individual);  DEUT TELEKOM AG (DEBP-C);  CIE FINANCIERE & IND AUTOROUTES (FINA-Non-standard);  DAIMLER-BENZ AG (DAIM-C);  DEUT TELEKOM AG (DEBP-C);  COFIROUTE (COFI-Non-standard);  DAIMLER AG (DAIM-C);  DEUT TELEKOM AG (DEBP-C);  CIE FINANCIERE&IND AUTOROUTES (FINA-Non-standard);  DAIMLER AG (DAIM-C);  CIE FINANCIERE&IND AUTOROUTES (FINA-Non-standard);  CIE FINANCIEE & IND AUTOROUTE COFIROUTE (FINA-Non-standard);  DEUT TELEKOM AG (DEBP-C),"%%%The%system%has%a%vehicle%device%for%autonomous%determination%of%a%road%toll.%Data%required%to%determine%a%toll%are%transmitted%on%demand%from%a%central%station%to%the%equipment,%which%determines%continually%arising%tolls%for%traversed%route%sections%and%determines%the%total%journey%toll%by%summation.%The%vehicle%equipment%transmits%the%total%toll%reached%to%date%to%the%operating%center%via%a%communications%device%on%reaching%a%defined%criterion.%%%%%-%For%autonomous%road%toll%determination%in%vehicles.%%%%%-%Improved%to%achieve%better%r%convenience.%%%%%%-%The%system%has%a%vehicle%device%(3)%for%autonomous%determination%of%a%road%toll%for%a%vehicle%in%a%toll%region.%Data%required%to%determine%a%toll%are%transmitted%on%demand%from%a%central%station%(2)%to%the%vehicle%equipment,%which%determines%continually%arising%tolls%for%route%sections%traversed%and%determines%the%total%toll%for%a%journey%by%summation.%The%vehicle%equipment%transmits%the%total%toll%reached%to%date%to%the%operating%center%via%a%communications%device%on%reaching%a%defined%criterion.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%representation%of%an%automatic%toll%levying%system%and%its%external%data%relationships%(Drawing%includes%non-English%text)%%%%vehicle%equipment%(3)%%%%central%station%(2)%","T05(Counting,Checking,Vending,ATMandPOSSystems)",W01(TelephoneandDataTransmissionSystems),X22(AutomotiveElectrics),EP1358635-A1PCTapplicationApplicationWOEP14678;EP1358635-A1BasedonPatentWO200261691;AU2002238426-A1BasedonPatentWO200261691;CZ200302051-A3PCTapplicationApplicationWOEP14678;CZ200302051-A3BasedonPatentWO200261691;JP2004524614-WPCTapplicationApplicationWOEP14678;JP2004524614-WBasedonPatentWO200261691;US2006106671-A1ContofApplicationWOEP14678;US2006106671-A1ContofApplicationUS861425;US2006106671-A1ContofApplicationUS045068;US2006106671-A1ContofApplicationUS470689;US2006200379-A1ContofApplicationUS861425;AU2002238426-B2BasedonPatentWO200261691;JP4167490-B2PCTapplicationApplicationWOEP14678;JP4167490-B2PreviousPubl.PatentJP2004524614;JP4167490-B2BasedonPatentWO200261691;EP1358635-B1PCTapplicationApplicationWOEP14678;EP1358635-B1BasedonPatentWO200261691;ES2380918-T3EPapplicationApplicationEP986870;ES2380918-T3BasedonPatentEP1358635;CA2437303-CPCTapplicationApplicationWOEP14678;CA2437303-CBasedonPatentWO200261691;CZ305818-B6PCTapplicationApplicationWOEP14678;CZ305818-B6BasedonPatentWO200261691;CZ305818-B6PreviousPubl.PatentCZ200302051
"Control system for underground mining vehicles has integral safety features, allows for autonomous, manual, or tele-operation, tele-operator is positioned in remote operating station with display console and controls for vehicle",WARD R S;  LAW J M;  BLOOMQUIST L A,AINSWORTH INC (AINS-Non-standard);  AINSWORTH INC (AINS-Non-standard);  BLOOMQUIST L A (BLOO-Individual);  LAW J M (LAWJ-Individual);  WARD R S (WARD-Individual),"%%%The%control%system%is%retrofitted%to%existing%mining%vehicles%(18)%and%has%a%robust%design%to%withstand%a%harsh%environment.%A%tele-operator%in%a%remote%operating%station%(16)%has%a%display%console%(48),%joysticks,%and%foot%pedals%(50)%to%control%the%vehicle.%The%system%has%safety%features%such%as%monitoring%for%operational%errors%and%providing%warning%and%error%information.%%%%%-%For%unmanned%mining%operations.%%%%%-%Operator%can%control%more%than%one%vehicle.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%method%of%remotely%controlling%the%vehicle.%%%%%OF%DRAWING(S)%-%The%diagram%shows%the%vehicle%and%control%system.%%%%Operating%station%(16)%%%%Vehicle%(18)%%%%Console%(48)%%%%Pedals%(50)%",T01(DigitalComputers),T06(ProcessandMachineControl),"W05(Alarms,Signalling,TelemetryandTelecontrol)",X25(IndustrialElectricEquipment)
"Predetermined constraints imposing method in autonomous vehicle system, involves imposing selected safety measure, when safety envelopes assigned to vehicles traveling along different trajectories, is predicted to overlap",BURNS R L,MODULAR MINING SYSTEMS INC (KOMS-C),"%%%The%position%of%the%safety%envelope%is%predicted,%when%the%vehicle%travels%along%a%trajectory.%A%selected%safety%measure%is%imposed%on%any%of%the%vehicle,%when%the%envelopes%assigned%to%the%vehicles%traveling%along%different%trajectories%is%predicted%to%overlap%with%each%other.%%%%%-%d%in%airtraffic,%underground%mining,%digging,%shipping,%trucking,%surface%mines,%vehicle%operations.%%%%%-%Avoids%collisions%in%a%simple%and%efficient%manner.%Avoids%the%hazards%by%all%moving%vehicles%and%equipment%operating%in%surface%mine.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%traffic%control%apparatus.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%flowchart%explaining%the%steps%involved%in%the%constraints%imposing%method.%",T01(DigitalComputers),T06(ProcessandMachineControl),T07(TrafficControlSystems),"W06(Aviation,MarineandRadarSystems)"
"Joining ring assembly for cylindrical sections e.g. for automonous underwater vehicle, has semicircular profile section on both sides of which compression ring and tension band are engaged",TOLKOFF S W;  GURFINKEL L;  STREITLIEN K,TOLKOFF S W (TOLK-Individual);  GURFINKEL L (GURF-Individual);  STREITLIEN K (STRE-Individual);  BLUEFIN ROBOTICS CORP (BLUE-Non-standard),"%%%The%joining%ring%assembly%(104)%comprises%a%semicylindrical%profile%section%coupled%over%which%a%cylindrical%section%(108)%is%to%be%mounted,%has%an%outer%circumferential%groove%and%inner%circumferential%ridge.%The%ridge%and%groove%of%profile%section%are%coupled%to%the%groove%of%a%compression%ring%and%ridge%of%the%tension%band,%respectively.%The%attachment%fasteners%of%tension%band%and%compression%ring%are%coupled%to%each%other%for%mutual%fastening.%%%%%-%The%joining%ring%assembly%is%d%to%join%cylindrical%sections%e.g.%for%fastening%body%of%autonomous%underwater%vehicle%(AUV)%such%as%small%robotic%submarine.%%%%%-%The%compression%ring%can%withstand%600%lbs%of%tension.%Joining%ring%assembly%can%be%applied%to%any%application%that%s%cylindrical%sections%that%are%to%be%joined.%Different%sections%are%combined%quickly%e.g.%swapping%of%sensor,%swapping%of%battery,%etc.%The%vehicles%are%easily%serviced,%where%periodic%maintenance%is%desirable.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%figure%shows%a%perspective%view%illustrating%autonomous%underwater%vehicle%including%joining%ring%assembly.%%%%Joining%ring%assembly%(104)%%%%Cylindrical%section%(108)%","Q79(Weapons,ammunition,blasting)","Q67(Pipes,joints,fittings)",NA,US2002033126-A1ProvisionalApplicationUS233275P
"Field programmable instrument controller for process control, has several specialized processors operating in serial/parallel mode and assuming several roles to create required process control functionality",BLEMEL K G,BLEMEL K G (BLEM-Individual),"%%%The%field%programmable%instrument%controller%(FPIC)%has%several%specialized%processors%that%communicate%mutually.%The%processors%operate%in%serial/parallel%mode%in%several%computing%architectures%which%are%of%predefined%bit%size%and%functionality.%The%processors%interface%with%other%processors,%and%assume%roles%to%create%required%process%control%functionality.%%%%%-%Field%programmable%instrument%controller%(FPIC)%in%distributed%control%system%(claimed)%for%%in%the%field%of%process%and%machine%diagnostics,%prognostics%and%control,%and%for%networked%process%control%including%diverse%applications%such%as%condition-based%maintenance,%precision%logistics,%monitoring%of%persons%and%other%animals%for%medical%or%scientific%reasons,%situation%awareness,%robotics,%autonomous%vehicles,%unmanned%vehicles%and%spacecraft.%%%%%-%Provides%extremely%compact,%low%power%controller%to%provide%highly%flexible%and%highly%functional%capabilities.%Provides%precision%control%of%real-time%processes%and%eliminates%need%for%ASICs%and%discrete%components.%Exhibits%ultra-low%power%requirements,%versatility,%compactness%and%the%ability%to%operate%in%extreme%environments.%Results%in%significant%savings%in%cost,%upgrade,%replacement%and%especially%writing%of%computer%programs.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%distributed%control%system%for%controlling%several%processes.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%linking%of%FPIC%in%a%distributed%network%interfaced%with%other%FPIC%and%computing%devices.%",T01(DigitalComputers),T06(ProcessandMachineControl),"W06(Aviation,MarineandRadarSystems)",US2002045952-A1ProvisionalApplicationUS240393P
"Method for producing a dynamic forecast of traffic conditions for a road system around individual vehicles allows each vehicle to make an autonomic, continuous time-cum-location record for a parameter of traffic conditions",KERNER B,DAIMLERCHRYSLER AG (DAIM-C),"%%%Each%vehicle%makes%an%autonomic,%continuous%time-cum-location%record%for%a%parameter%of%traffic%conditions.%%%%%-%For%forecasting%traffic%conditions%for%road%traffic%systems.%%%%%-%This%method%can%produce%a%dynamic,%reliable%and%satisfactory%forecast%of%traffic%conditions%without%the%aid%of%a%centralized%traffic%control.%%%%%%-%A%best-suited%line%of%cycle%is%determined%by%comparing%the%up-to-date%recorded%time-cum-location%state%of%traffic%condition%parameters%or%a%value%deduced%from%this%with%associated%stored%historical%lines%of%cycle%to%represent%traffic%conditions%in%the%driving%direction%of%the%associated%vehicle%and%then%forecast%the%expected%traffic%conditions.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%block%diagram%of%a%method%for%producing%an%autonomic%dynamic%forecast%of%traffic%conditions%vehicle%by%vehicle.%(Drawing%includes%non-English%language%text).%",T07(TrafficControlSystems),NA,NA,NA
"Assessing used vehicle value for trade in/resale, avails autonomous valuation program that collects primary data of vehicle such as use period, distance traveled to furnish residual value estimates to authorized user",FUJII S;  FUJII M,FUJII S (FUJI-Individual);  FUJII M (FUJI-Individual),"%%%Vehicles%are%acquired%by%individual%rs%typically%under%various%schemes%of%deferred%payment%by%installments.%A%residual%value%estimate%of%d%vehicle%is%provided%by%a%specialized%program%that%would%need%vehicle%particulars%such%as%%period,%distance%executed%to%date,%etc.%Once%the%vehicle%r%furnishes%his%credentials%in%the%form%of%code,%password,%an%estimate%of%residual%monetary%value%of%his%vehicle%is%offered.%%%%%-%Professionalized%residual%value%estimates%of%d%vehicles%come%handy%during%times%of%vehicle%trade-ins,%resale,%etc.%%%%%-%Apart%from%relieving%the%vehicle%r%of%the%tedium%of%protracted%haggling,%it%greatly%simplifies%various%procedures%involved%in%re-negotiation%of%terms,%exchange/trade-in%of%d%vehicles,%buying%new%vehicles%afresh,%etc.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%acquisition%assessment%price%calculation%system.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%flowchart%explaining%the%operation%of%acquisition%assessment%price%calculation%system.%(Drawing%includes%non-English%language%text).%",T01(DigitalComputers),NA,NA,NA
